Kinase group	Sites in	Sites out	Sites in bcgr	Sites out bcgr	p.val	p.adj	Experiment
CaMKII	160	743	2764	37666	3.2206043666017e-27	1.80353844529695e-25	CaEGTA
MAPK	175	728	6329	34101	0.00306916362883398	0.00859365816073514	CaEGTA
GSK3	44	859	970	39460	2.62283827014655e-05	0.000183598678910259	CaEGTA
PKC	141	762	5783	34647	0.269356470225081	0.377099058315114	CaEGTA
AMPK	8	895	196	40234	0.0912228813177715	0.196480052069046	CaEGTA
SGK	3	900	69	40361	0.208351816736518	0.315343290195811	CaEGTA
BCKDK_PDHK4	3	900	74	40356	0.237064019996232	0.349357503152341	CaEGTA
CaMKI	2	901	36	40394	0.201363761333734	0.31375874856057	CaEGTA
CAMK	7	896	261	40169	0.530790903632785	0.62674237832923	CaEGTA
p70S6K	1	902	49	40381	1	1	CaEGTA
RSK	6	897	276	40154	1	1	CaEGTA
PDHK3_PDHK1	5	898	250	40180	1	1	CaEGTA
PKD	3	900	193	40237	0.80409043085346	0.867795711735111	CaEGTA
MARK	4	899	279	40151	0.537207752853625	0.62674237832923	CaEGTA
DMPK	2	901	198	40232	0.334850575077512	0.446467433436683	CaEGTA
PKB	8	895	601	39829	0.161500486057732	0.282625850601031	CaEGTA
PAK	67	836	3317	37113	0.425161784418542	0.517588259292138	CaEGTA
PKGcGK	1	902	414	40016	0.00196603664230348	0.00611655844272193	CaEGTA
PKA	1	902	425	40005	0.00210449189872789	0.00620271296467168	CaEGTA
CK2	46	857	2457	37973	0.258405370994375	0.371043609632949	CaEGTA
mTOR_ATM_ATR	1	902	507	39923	0.000323660133903488	0.00139422826912272	CaEGTA
GRK	7	896	798	39632	0.00687569098992769	0.0183351759731405	CaEGTA
CLK	5	898	771	39659	0.00112341618825882	0.00419408710283292	CaEGTA
PLK	6	897	929	39501	0.000259595626097998	0.00121144625512399	CaEGTA
CDK	60	843	3278	37152	0.122255321908809	0.220848323448171	CaEGTA
DAPK	29	874	2043	38387	0.0107004449616223	0.026053257297863	CaEGTA
CK1	80	823	4292	36138	0.100442846442726	0.201369832702952	CaEGTA
Aurora	1	902	904	39526	5.87130867638026e-08	5.47988809795491e-07	CaEGTA
MAP2K	9	894	1967	38463	2.3343315939084e-10	3.26806423147176e-09	CaEGTA
MAPK	229	628	6320	34052	3.31169797596313e-16	6.18183622179785e-15	BoNT
PKC	169	688	5933	34439	7.91965932302729e-05	0.000443500922089528	BoNT
GSK3	40	817	984	39388	0.000204704529520289	0.00104213215028511	BoNT
CaMKII	72	785	2812	37560	0.104280806221172	0.201369832702952	BoNT
CDK	78	779	3324	37048	0.346981708641782	0.451883155440461	BoNT
DMPK	9	848	171	40201	0.0134258878573077	0.0313270716670514	BoNT
RSK	9	848	245	40127	0.115521460791033	0.215640060143262	BoNT
CAMK	9	848	273	40099	0.20170205264608	0.31375874856057	BoNT
MAPKAPK	1	856	18	40354	0.329137438822907	0.446467433436683	BoNT
SLK	1	856	23	40349	0.396055011302942	0.492868458510328	BoNT
p70S6K	1	856	50	40322	1	1	BoNT
AMPK	3	854	208	40164	0.805810303754032	0.867795711735111	BoNT
PKB	11	846	603	39769	0.774729576568447	0.86769712575666	BoNT
CLK	14	843	773	39599	0.703937071339651	0.804499510102458	BoNT
PDHK3_PDHK1	3	854	266	40106	0.387149030205143	0.492735129352	BoNT
PKD	1	856	191	40181	0.196486535440514	0.31375874856057	BoNT
PKGcGK	3	854	404	39968	0.0536998189591925	0.120287594468591	BoNT
ROCK	1	856	355	40017	0.0082423612475049	0.0209805559027397	BoNT
GRK	10	847	794	39578	0.103598639927804	0.201369832702952	BoNT
PKA	1	856	430	39942	0.00195284320651499	0.00611655844272193	BoNT
NEK1_NEK5_NEK3_NEK4_NEK11_NEK2	1	856	601	39771	7.27564118120853e-05	0.000443500922089528	BoNT
CK1	82	775	4486	35886	0.168948242354711	0.286700047632237	BoNT
Aurora	2	855	1078	39294	5.81511678671156e-08	5.47988809795491e-07	BoNT
DAPK	24	833	2076	38296	0.00122319918360493	0.00428119714261725	BoNT
CK2	32	825	2565	37807	0.00105010585657047	0.00419408710283292	BoNT
PAK	36	821	3407	36965	1.84267157321336e-06	1.47413725857069e-05	BoNT
MAP2K	1	856	1982	38390	2.84208866121009e-17	7.95784825138824e-16	BoNT
