Kinase group	CaEGTA	Total CaEGTA	MockBTX	Total MockBTX	p.val	p.adj
CaMKII	160	903	72	857	3.85709358065774e-07	7.32847780324971e-06
PAK	67	903	36	857	0.00807192214664871	0.0511221735954418
CK2	46	903	32	857	0.203525429046466	0.386698315188285
MAP2K	9	903	1	857	0.0217079083356367	0.100501294613416
PLK	6	903	0	857	0.0313904827400327	0.100501294613416
AMPK	8	903	3	857	0.22724814953048	0.392519531007192
DAPK	29	903	24	857	0.676818231772176	0.719394260519039
GSK3	44	903	40	857	0.911173143979244	0.911173143979244
CAMK	7	903	9	857	0.620482831875134	0.719394260519039
DYRK	7	903	9	857	0.620482831875134	0.719394260519039
RSK	6	903	9	857	0.443408754850745	0.66906807805147
GRK	7	903	10	857	0.46991987635742	0.66906807805147
PKB	8	903	11	857	0.49299753119582	0.66906807805147
CK1	80	903	82	857	0.681531404702247	0.719394260519039
DMPK	2	903	9	857	0.0343740557681352	0.100501294613416
CLK	5	903	14	857	0.037026792752311	0.100501294613416
CDK	60	903	78	857	0.0777798223386789	0.164201847159433
PKC	141	903	169	857	0.0645334240565919	0.153266882134406
MAPK	175	903	229	857	0.00409762514356062	0.0389274388638259
