Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides Prep35	Razor + unique peptides Prep35	Unique peptides Prep35	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Fraction 7	Fraction 8	Fraction 9	Fraction 10	Fraction 11	Fraction 12	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity corrected 1 Prep35	Reporter intensity corrected 2 Prep35	Reporter intensity corrected 3 Prep35	Reporter intensity corrected 4 Prep35	Reporter intensity corrected 5 Prep35	Reporter intensity corrected 6 Prep35	Reporter intensity 1 Prep35	Reporter intensity 2 Prep35	Reporter intensity 3 Prep35	Reporter intensity 4 Prep35	Reporter intensity 5 Prep35	Reporter intensity 6 Prep35	Reporter intensity count 1 Prep35	Reporter intensity count 2 Prep35	Reporter intensity count 3 Prep35	Reporter intensity count 4 Prep35	Reporter intensity count 5 Prep35	Reporter intensity count 6 Prep35	Sequence coverage Prep35 [%]	Intensity	Intensity Prep35	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
CON__ENSEMBL:ENSBTAP00000024462;CON__ENSEMBL:ENSBTAP00000024466	CON__ENSEMBL:ENSBTAP00000024462;CON__ENSEMBL:ENSBTAP00000024466	6;4	6;4	6;4	;	2	6	6	6	6	6	6	17.7	17.7	17.7	46.543	419	419;401	5.83	1	1		1			1		1			1	0	46.108	73763	65474	62744	57350	64574	74835	67486	62088	64568	58244	66980	71407	5	5	5	5	5	5	73763	65474	62744	57350	64574	74835	67486	62088	64568	58244	66980	71407	5	5	5	5	5	5	17.7	183750000	183750000	8			+	0	6439;12704;24259;26124;27202;29197	True;True;True;True;True;True	6590;13061;25038;26977;28097;30158	9065;17983;33714;36424;37996;40786	12260;12261;24511;45786;49408;51539;51540;55416	12260;24511;45786;49408;51539;55416		
tr|M0R8B6|M0R8B6_RAT;CON__ENSEMBL:ENSBTAP00000025008	tr|M0R8B6|M0R8B6_RAT;CON__ENSEMBL:ENSBTAP00000025008	7;7	1;1	1;1	tr|M0R8B6|M0R8B6_RAT Tubulin beta chain OS=Rattus norvegicus OX=10116 GN=Tubb1 PE=1 SV=1;	2	7	1	1	7	1	1	11.7	3.3	3.3	50.416	452	452;536	4.71	1	3	1								1	1	0	22.175	65327	56545	61809	47625	60483	58357	59767	53745	62839	49001	62042	55955	5	5	5	5	5	5	65327	56545	61809	47625	60483	58357	59767	53745	62839	49001	62042	55955	5	5	5	5	5	5	11.7	146360000	146360000	8			+	1	3037;7890;7891;12768;13849;14798;26661	True;False;False;False;False;False;False	3092;3093;8086;8087;13126;14232;14233;15207;15208;27539	4267;4268;4269;4270;4271;4272;4273;10962;10963;10964;10965;10966;18060;18061;18062;18063;18064;18065;19611;19612;19613;19614;19615;20833;20834;20835;20836;20837;20838;20839;20840;20841;20842;20843;20844;20845;37223	5796;5797;5798;5799;5800;5801;5802;5803;14706;14707;14708;14709;14710;14711;14712;14713;14714;14715;14716;14717;14718;14719;14720;14721;24598;24599;24600;24601;24602;24603;24604;24605;24606;24607;24608;24609;24610;26869;26870;26871;26872;26873;26874;26875;26876;26877;26878;26879;26880;26881;26882;26883;28515;28516;28517;28518;28519;28520;28521;28522;28523;28524;28525;28526;28527;28528;28529;28530;28531;28532;28533;28534;28535;28536;28537;28538;28539;28540;28541;28542;28543;28544;28545;50494	5796;14708;14717;24598;26877;28516;50494	0;1	73;257
CON__P00761;tr|B2RYJ5|B2RYJ5_RAT	CON__P00761	6;1	6;1	5;0		2	6	6	5	6	6	5	30.3	30.3	26.8	24.409	231	231;539	7.34		2	7	1	1	1	3	6	4	2	4	4	0	323.31	1041500	870860	774260	831670	748390	951520	952820	825310	804120	834190	786700	905990	51	51	51	51	51	51	1041500	870860	774260	831670	748390	951520	952820	825310	804120	834190	786700	905990	51	51	51	51	51	51	30.3	34794000000	34794000000	67			+	2	12176;12751;15322;17089;18999;26658	True;True;True;True;True;True	12504;12505;13108;15749;17561;19649;27536	17187;17188;17189;17190;17191;17192;17193;17194;17195;17196;18039;21557;21558;21559;21560;21561;21562;21563;21564;23867;23868;23869;23870;23871;23872;23873;23874;26757;37214;37215;37216;37217;37218;37219;37220	23320;23321;23322;23323;23324;23325;23326;23327;23328;23329;23330;23331;23332;23333;23334;23335;23336;23337;23338;23339;23340;23341;23342;23343;23344;24574;29461;29462;29463;29464;29465;29466;29467;29468;29469;29470;29471;29472;29473;29474;32536;32537;32538;32539;32540;32541;32542;32543;32544;32545;36593;36594;36595;50478;50479;50480;50481;50482;50483;50484;50485;50486;50487;50488;50489;50490;50491	23335;24574;29462;32541;36593;50487	2	94
CON__P02768-1	CON__P02768-1	1	1	1		1	1	1	1	1	1	1	1.5	1.5	1.5	69.366	609	609	7							1						0.0053163	6.456	6310.9	6253.4	6158.3	6230.7	5540.8	9511.1	5774.5	5927.8	6331.2	6267.4	5917.2	9004.1	1	1	1	1	1	1	6310.9	6253.4	6158.3	6230.7	5540.8	9511.1	5774.5	5927.8	6331.2	6267.4	5917.2	9004.1	1	1	1	1	1	1	1.5	14616000	14616000	1			+	3	22907	True	23656	32034	43658	43658		
CON__P02769	CON__P02769	2	1	1		1	2	1	1	2	1	1	3.3	2.1	2.1	69.293	607	607	7							1						0.0031829	10.331	14602	13841	12885	11170	13039	16621	13360	13114	13275	11387	13561	15825	1	1	1	1	1	1	14602	13841	12885	11170	13039	16621	13360	13114	13275	11387	13561	15825	1	1	1	1	1	1	3.3	5979300	5979300	1			+	4	14827;15338	False;True	15238;15765	20879;21593	28584;29516	28584;29516		
CON__P04264;tr|A0A0G2K509|A0A0G2K509_RAT;CON__ENSEMBL:ENSBTAP00000038253;tr|A0A0G2JST3|A0A0G2JST3_RAT;sp|Q6IMF3|K2C1_RAT;sp|Q6IG01|K2C1B_RAT;CON__Q6IFZ6;tr|A0A0G2JZQ9|A0A0G2JZQ9_RAT;CON__H-INV:HIT000016045	CON__P04264	16;4;3;3;3;2;2;2;1	16;4;3;3;3;2;2;2;1	11;1;2;2;2;0;0;0;0		9	16	16	11	16	16	11	27.6	27.6	19.9	66.017	644	644;591;606;625;625;519;572;579;99	6.47	2	3	1	1	1				4	1	4		0	127.97	177400	138470	161650	146680	108630	141240	162280	131880	164090	148060	115450	134410	14	14	14	14	14	14	177400	138470	161650	146680	108630	141240	162280	131880	164090	148060	115450	134410	14	14	14	14	14	14	27.6	271660000	271660000	19			+	5	4770;7691;9984;10076;11730;18990;19007;22046;22688;22800;22958;23068;25004;25365;25548;28720	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	4873;7879;10249;10342;12049;19640;19657;22780;23436;23549;23708;23820;25809;26185;26382;29668	6810;10691;14126;14245;16542;26747;26766;30953;31774;31916;32093;32229;34840;35337;35616;40131;40132	9285;14320;19049;19050;19204;22380;36583;36606;42248;43332;43518;43519;43730;43909;47310;47976;48352;54536;54537	9285;14320;19050;19204;22380;36583;36606;42248;43332;43519;43730;43909;47310;47976;48352;54536	3	296
CON__P07477	CON__P07477	2	1	1		1	2	1	1	2	1	1	11.3	8.1	8.1	26.558	247	247	10				1						2	4	1	0	67.637	148660	151890	121710	95516	136170	131690	136030	143540	126790	98411	139180	126260	14	14	14	14	14	14	148660	151890	121710	95516	136170	131690	136030	143540	126790	98411	139180	126260	14	14	14	14	14	14	11.3	1959300000	1959300000	16			+	6	15323;18999	True;False	15750;19649	21565;21566;21567;21568;21569;21570;21571;21572;26757	29475;29476;29477;29478;29479;29480;29481;29482;29483;29484;29485;29486;29487;29488;29489;29490;36593;36594;36595	29480;36593		
CON__P13645;sp|Q6IFV3|K1C15_RAT;CON__A2A4G1;CON__P02533;CON__P08779;sp|Q63279|K1C19_RAT;CON__P19001;CON__Q04695;sp|Q6IFU8|K1C17_RAT;CON__Q9QWL7;CON__P08730-1;tr|A0A0G2K9Q9|A0A0G2K9Q9_RAT;CON__P19012;sp|Q6IFW6|K1C10_RAT;tr|A0A0G2K2V6|A0A0G2K2V6_RAT;CON__P02535-1;sp|Q5BJY9|K1C18_RAT;CON__P05784;tr|A0A0G2JXJ9|A0A0G2JXJ9_RAT;CON__Q148H6;sp|Q6IFV1|K1C14_RAT;CON__Q7Z3Y7;CON__Q99456;tr|Q6IFW7|Q6IFW7_RAT;CON__Q14525;tr|F1MAF7|F1MAF7_RAT;tr|A0A096MJE0|A0A096MJE0_RAT;CON__Q9UE12;CON__Q15323;CON__A2A5Y0;CON__ENSEMBL:ENSP00000377550;CON__Q92764;sp|Q6IFW2|K1C40_RAT;sp|Q6IFV4|K1C13_RAT;sp|Q6IFX0|K1C25_RAT;CON__Q14532;sp|Q6IFW8|K1C27_RAT;CON__Q7Z3Z0;sp|Q6IFU7|K1C42_RAT;CON__Q6IFX2;CON__A2AB72;tr|Q6IFV7|Q6IFV7_RAT;tr|Q6IFV6|Q6IFV6_RAT;tr|F1MAS0|F1MAS0_RAT;CON__Q497I4;CON__O76015;CON__Q7Z3Y8;tr|Q6IFU9|Q6IFU9_RAT;CON__O76013;CON__Q7Z3Y9;tr|Q6IFV5|Q6IFV5_RAT;CON__O76014;CON__REFSEQ:XP_986630;sp|Q6IFX1|K1C24_RAT;CON__Q2M2I5	CON__P13645	12;4;4;4;4;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	12;4;4;4;4;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	8;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0		55	12	12	8	12	12	8	20.7	20.7	16.5	59.51	593	593;447;456;472;473;403;403;432;433;433;437;447;456;526;559;570;423;423;442;464;485;486;494;383;404;414;416;416;416;416;420;425;431;438;446;448;449;450;452;452;453;455;455;455;455;456;459;463;467;468;468;471;476;491;525	6.17	1	2		1	1	3			2			2	0	84.204	175920	148570	171760	115380	88712	142720	160940	141380	173670	118880	95080	135270	9	9	9	9	9	9	175920	148570	171760	115380	88712	142720	160940	141380	173670	118880	95080	135270	9	9	9	9	9	9	20.7	235960000	235960000	13			+	7	1554;6247;12780;14535;14767;14768;15914;22932;23522;23783;27468;28345	True;True;True;True;True;True;True;True;True;True;True;True	1577;6383;13138;14933;15173;15174;16361;23681;24290;24553;28379;29278	2202;8772;18077;20466;20779;20780;22367;32064;32809;33123;38367;39546	3029;11866;24622;28005;28432;28433;30596;43694;44639;45020;52066;52067;53645	3029;11866;24622;28005;28432;28433;30596;43694;44639;45020;52067;53645		
CON__P35527	CON__P35527	5	4	4		1	5	4	4	5	4	4	16.2	15.1	15.1	62.129	623	623	2.75		3			1								0	118.06	13614	9740.4	14620	18619	9219.3	11300	12453	9332.4	14724	18401	10045	10768	4	4	4	4	4	4	13614	9740.4	14620	18619	9219.3	11300	12453	9332.4	14724	18401	10045	10768	4	4	4	4	4	4	16.2	32456000	32456000	4			+	8	8079;8974;14767;19783;22318	True;True;False;True;True	8282;9195;15173;20464;23058	11218;12632;20779;27884;31304	15050;16987;28432;38139;42712	15050;16987;28432;38139;42712		
CON__P35908v2;CON__P35908;CON__Q9R0H5;tr|A0A0G2JXH6|A0A0G2JXH6_RAT;CON__Q6NXH9;sp|Q6IG03|K2C73_RAT;CON__Q7Z794;tr|A0A0G2JWX4|A0A0G2JWX4_RAT;sp|Q6IG02|K22E_RAT;CON__Q3TTY5	CON__P35908v2;CON__P35908	8;8;1;1;1;1;1;1;1;1	6;6;0;0;0;0;0;1;1;1	5;5;0;0;0;0;0;1;1;1	;	10	8	6	5	8	6	5	15.3	12.2	10.3	65.432	639	639;645;524;539;539;553;578;684;685;707	4.67	2	1				1	1				1		0	43.143	31779	35572	32781	24254	25883	34830	29081	33660	33700	24939	27079	33123	6	6	6	6	6	6	31779	35572	32781	24254	25883	34830	29081	33660	33700	24939	27079	33123	6	6	6	6	6	6	15.3	39049000	39049000	7			+	9	7691;8825;8978;10740;11730;16681;19034;24317	False;True;True;True;False;True;True;True	7879;9042;9199;11022;12049;17142;19684;25098	10691;12431;12636;15125;16542;23338;26802;33788	14320;16715;16991;20379;22380;31863;31864;36653;45880	14320;16715;16991;20379;22380;31864;36653;45880		
