Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides Prep31	Razor + unique peptides Prep31	Unique peptides Prep31	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Fraction 7	Fraction 8	Fraction 9	Fraction 10	Fraction 11	Fraction 12	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity corrected 1 Prep31	Reporter intensity corrected 2 Prep31	Reporter intensity corrected 3 Prep31	Reporter intensity corrected 4 Prep31	Reporter intensity corrected 5 Prep31	Reporter intensity corrected 6 Prep31	Reporter intensity 1 Prep31	Reporter intensity 2 Prep31	Reporter intensity 3 Prep31	Reporter intensity 4 Prep31	Reporter intensity 5 Prep31	Reporter intensity 6 Prep31	Reporter intensity count 1 Prep31	Reporter intensity count 2 Prep31	Reporter intensity count 3 Prep31	Reporter intensity count 4 Prep31	Reporter intensity count 5 Prep31	Reporter intensity count 6 Prep31	Sequence coverage Prep31 [%]	Intensity	Intensity Prep31	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
CON__ENSEMBL:ENSBTAP00000014147	CON__ENSEMBL:ENSBTAP00000014147	1	1	1		1	1	1	1	1	1	1	13.3	13.3	13.3	11.756	113	113	9									1				0.006699	1.543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.3	32606000	32606000	1			+	0	31041	True	32507	46138	62852	62852		
CON__ENSEMBL:ENSBTAP00000024462;CON__ENSEMBL:ENSBTAP00000024466	CON__ENSEMBL:ENSBTAP00000024462;CON__ENSEMBL:ENSBTAP00000024466	7;6	7;6	7;6	;	2	7	7	7	7	7	7	22.2	22.2	22.2	46.543	419	419;401	4.57	2	1	1			1	1					1	0	37.006	75601	78293	73002	81411	73680	56520	69178	74133	75492	81516	76081	54598	9	9	9	9	9	9	75601	78293	73002	81411	73680	56520	69178	74133	75492	81516	76081	54598	9	9	9	9	9	9	22.2	592520000	592520000	12			+	1	7289;9294;14624;21472;23579;30503;32804	True;True;True;True;True;True;True	7575;9644;15228;22511;24705;31936;34345	11094;13862;22019;32220;35356;45377;48851	15197;15198;18864;30199;30200;44056;48524;61793;61794;66618;66619;66620	15197;18864;30199;44056;48524;61793;66618		
CON__P00761	CON__P00761	3	3	3		1	3	3	3	3	3	3	16.5	16.5	16.5	24.409	231	231	8.43							1	3	2	1			0	223.16	336290	353340	257190	264320	240740	230450	307720	333460	271480	265760	250180	221010	15	15	15	15	15	15	336290	353340	257190	264320	240740	230450	307720	333460	271480	265760	250180	221010	15	15	15	15	15	15	16.5	63434000000	63434000000	18			+	2	17470;19469;29841	True;True;True	18181;20250;31245	26134;28919;28920;28921;28922;44399;44400	35764;35765;39485;39486;39487;39488;39489;39490;39491;60473;60474;60475;60476;60477;60478;60479;60480;60481	35764;39491;60478		
CON__P01966	CON__P01966	3	1	1		1	3	1	1	3	1	1	17.6	11.3	11.3	15.184	142	142	5					1								0.0019314	2.0322	10600	11201	9897.9	10519	10381	8525.5	9700	10596	10270	10572	10698	8216	1	1	1	1	1	1	10600	11201	9897.9	10519	10381	8525.5	9700	10596	10270	10572	10698	8216	1	1	1	1	1	1	17.6	16824000	16824000	1			+	3	19247;29594;29979	False;True;False	20020;30979;31389	28586;43990;44615	39038;59920;60766	39038;59920;60766		
CON__P02768-1	CON__P02768-1	1	1	1		1	1	1	1	1	1	1	1.5	1.5	1.5	69.366	609	609	7							1						0.0031041	1.8983	3696.1	3808.8	3363.4	3808.6	3518.2	2884.9	3382	3603.8	3494.6	3812	3636.1	2780.3	1	1	1	1	1	1	3696.1	3808.8	3363.4	3808.6	3518.2	2884.9	3382	3603.8	3494.6	3812	3636.1	2780.3	1	1	1	1	1	1	1.5	86146000	86146000	1			+	4	25941	True	27139	38632	52763	52763		
CON__P04264;tr|A0A0G2JST3|A0A0G2JST3_RAT;sp|Q6IMF3|K2C1_RAT;tr|A0A0G2K509|A0A0G2K509_RAT;tr|F7FFV2|F7FFV2_RAT;tr|A0A0G2JW69|A0A0G2JW69_RAT;tr|A0A0G2JVA8|A0A0G2JVA8_RAT;tr|A0A0G2JUG1|A0A0G2JUG1_RAT;sp|Q6IG05|K2C75_RAT;CON__Q8BGZ7;sp|Q4FZU2|K2C6A_RAT;CON__P50446;tr|A0A0H2UHH5|A0A0H2UHH5_RAT;sp|Q6P6Q2|K2C5_RAT;CON__Q922U2;CON__Q5XQN5;CON__ENSEMBL:ENSBTAP00000038253	CON__P04264	10;3;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1	10;3;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1	9;3;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1		17	10	10	9	10	10	9	16.9	16.9	15.7	66.017	644	644;625;625;591;395;484;537;538;542;551;552;553;573;576;580;601;606	7.27	1	1			2	1		2			3	1	0	77.488	116400	65743	66966	79153	56105	55204	106460	62673	69106	78775	59132	52902	8	8	8	8	8	8	116400	65743	66966	79153	56105	55204	106460	62673	69106	78775	59132	52902	8	8	8	8	8	8	16.9	248840000	248840000	12			+	5	11394;13538;16678;25755;25840;26003;28146;28717;28718;32190	True;True;True;True;True;True;True;True;True;True	11849;14088;17344;26945;27032;27203;29452;30060;30061;33702	17204;20340;24963;38379;38494;38706;38707;41798;42639;42640;47929	23575;27823;34178;52446;52592;52593;52859;52860;56941;58097;58098;65378	23575;27823;34178;52446;52593;52859;56941;58097;58098;65378		
CON__P13645	CON__P13645	4	4	2		1	4	4	2	4	4	2	7.6	7.6	3	59.51	593	593	9.5						1		1				2	0	6.2473	58336	50433	40752	44156	33444	52002	53370	47721	42679	44163	35809	49314	4	4	4	4	4	4	58336	50433	40752	44156	33444	52002	53370	47721	42679	44163	35809	49314	4	4	4	4	4	4	7.6	280260000	280260000	5			+	6	510;30782;31745;33528	True;True;True;True	517;32237;33239;35105	775;45787;47186;50173	1063;62363;62364;64267;68474	1063;62364;64267;68474		
CON__P35527	CON__P35527	3	3	3		1	3	3	3	3	3	3	6.9	6.9	6.9	62.129	623	623	4.75				1	3								0	138.49	89821	26858	30047	36177	18309	29357	82128	25914	30999	35848	20164	27824	3	3	3	3	3	3	89821	26858	30047	36177	18309	29357	82128	25914	30999	35848	20164	27824	3	3	3	3	3	3	6.9	88226000	88226000	4			+	7	9277;10307;11083	True;True;True	9626;10703;11521	13842;13843;15533;16766	18842;18843;21270;23013	18843;21270;23013		
CON__P35908v2;CON__P35908;CON__Q8VED5;CON__Q5XKE5;CON__O95678;CON__P48668;CON__P04259;CON__P02538	CON__P35908v2;CON__P35908	4;4;1;1;1;1;1;1	3;3;1;1;1;1;1;1	2;2;0;0;0;0;0;0	;	8	4	3	2	4	3	2	7	5.8	3.9	65.432	639	639;645;531;535;551;564;564;564	6	1					1					1		0	7.9536	16485	13778	14013	17789	14866	10455	15082	13084	14448	17688	15377	10133	2	2	2	2	2	2	16485	13778	14013	17789	14866	10455	15082	13084	14448	17688	15377	10133	2	2	2	2	2	2	7	52923000	52923000	3			+	8	12279;13538;19044;21711	True;False;True;True	12770;14088;19808;22759	18480;20340;28308;32571	25261;27823;38671;44546	25261;27823;38671;44546		
CON__P62894;sp|P10715|CYC2_RAT	CON__P62894	4;1	2;0	2;0		2	4	2	2	4	2	2	34.3	17.1	17.1	11.703	105	105;105	5		1	1	1							1		0	4.849	2484.3	2263.5	2188.4	2886.6	2939.7	2003.3	2272.9	2146.3	2266	2874.8	3010.4	1943.9	1	1	1	1	1	1	2484.3	2263.5	2188.4	2886.6	2939.7	2003.3	2272.9	2146.3	2266	2874.8	3010.4	1943.9	1	1	1	1	1	1	34.3	21964000	21964000	4			+	9	10581;10582;20506;28042	True;True;False;False	10990;10991;10992;21394;29340	15961;15962;15963;15964;30557;41629;41630	21861;21862;21863;21864;41737;41738;56697;56698;56699;56700;56701	21861;21864;41737;56701	0	66
