id	Accession	Gene.name	Protein.description	Protein.IDs	Majority.protein.IDs	Fasta.headers	Number.of.proteins	Peptides	Razor.and.unique.peptides	Unique.peptides	Sequence.coverage.percent	Mol.weight.kDa	Sequence.length	Q.value	Score	Intensity	MS.MS.count	Mock_01	Mock_02	Mock_03	BoNT_01	BoNT_02	BoNT_03	Mock_01.norm	Mock_02.norm	Mock_03.norm	BoNT_01.norm	BoNT_02.norm	BoNT_03.norm	log2FC	p.mod	p.adj.BH	Candidate
73	A0A096MJZ0	Dnal1	Dynein light chain 1, axonemal	sp|A0A096MJZ0|DNAL1_RAT;tr|A0A096MJU0|A0A096MJU0_RAT;tr|B1WBZ0|B1WBZ0_RAT	sp|A0A096MJZ0|DNAL1_RAT;tr|A0A096MJU0|A0A096MJU0_RAT;tr|B1WBZ0|B1WBZ0_RAT	sp|A0A096MJZ0|DNAL1_RAT Dynein light chain 1, axonemal OS=Rattus norvegicus OX=10116 GN=Dnal1 PE=1 SV=1;tr|A0A096MJU0|A0A096MJU0_RAT Dynein light chain 1, axonemal OS=Rattus norvegicus OX=10116 GN=Dnal1 PE=4 SV=1;tr|B1WBZ0|B1WBZ0_RAT Dnalc1 protein OS=Ratt	3	2	2	2	11.6	21.503	190	0.00049358	2.2557	80874000	2	14.4483744596628	14.2678108183672	14.4654388624815	14.4681148863781	14.5569251034222	13.8410728828848	0.0373357541905296	-0.0490856047813825	0.0343086447530528	0.0246617283315265	-0.0246235530491975	-0.291801536009036	0.104774051629635	0.291218241886606	0.999354675409622	FALSE
74	D3ZHG8	Gga3	ADP-ribosylation factor-binding protein GGA3	tr|D3ZHG8|D3ZHG8_RAT;sp|A0A0G2JV04|GGA3_RAT;tr|A0A0G2JYM3|A0A0G2JYM3_RAT;tr|G3V8F7|G3V8F7_RAT	tr|D3ZHG8|D3ZHG8_RAT;sp|A0A0G2JV04|GGA3_RAT	tr|D3ZHG8|D3ZHG8_RAT ADP-ribosylation factor-binding protein GGA3 OS=Rattus norvegicus OX=10116 GN=Gga3 PE=1 SV=1;sp|A0A0G2JV04|GGA3_RAT ADP-ribosylation factor-binding protein GGA3 OS=Rattus norvegicus OX=10116 GN=Gga3 PE=1 SV=1	4	7	7	6	10	71.714	658	0	25.98	163960000	8	15.1430642806314	15.1817734388088	15.2726662309348	15.2338068914394	15.399845329939	14.7731907306225	-0.0722805406298935	0.0605708998711446	0.0372298974172825	-0.0139523823962497	0.0139905576785787	-0.163989804060337	0.0631572951455139	0.383154921395209	0.999354675409622	FALSE
76	A0A0G2JXT6	Mtmr6	Myotubularin-related protein 6	sp|A0A0G2JXT6|MTMR6_RAT;tr|D3ZC22|D3ZC22_RAT	sp|A0A0G2JXT6|MTMR6_RAT;tr|D3ZC22|D3ZC22_RAT	sp|A0A0G2JXT6|MTMR6_RAT Myotubularin-related protein 6 OS=Rattus norvegicus OX=10116 GN=Mtmr6 PE=1 SV=1;tr|D3ZC22|D3ZC22_RAT Myotubularin related protein 6 (Predicted), isoform CRA_a OS=Rattus norvegicus OX=10116 GN=Mtmr6 PE=1 SV=1	2	4	4	4	7.8	75.576	655	0	22.996	79713000	5	13.8898841703028	13.8250581510396	14.0205459542904	13.8832160400522	14.018808709164	13.6127533350447	-0.000569838820342006	0.0287464242400322	0.110000432911008	-0.0396524216452852	-0.0421552509583242	0.000463612499931154	0.0731736928114587	0.176044720186937	0.999354675409622	FALSE
77	A0A0G2K2P5	Tjp1	Tight junction protein ZO-1	sp|A0A0G2K2P5|ZO1_RAT;tr|F1M4A0|F1M4A0_RAT	sp|A0A0G2K2P5|ZO1_RAT;tr|F1M4A0|F1M4A0_RAT	sp|A0A0G2K2P5|ZO1_RAT Tight junction protein ZO-1 OS=Rattus norvegicus OX=10116 GN=Tjp1 PE=1 SV=1;tr|F1M4A0|F1M4A0_RAT Tight junction protein 1 (Predicted) OS=Rattus norvegicus OX=10116 GN=Tjp1 PE=1 SV=2	2	18	18	18	13.6	197.15	1765	0	323.31	347140000	22	17.0225845478055	16.960590260747	17.0195472939661	16.968936733329	17.1000052244227	16.7437299553572	0.0119483692621924	0.0440963645273226	-0.0111803968334597	-0.0741138977886341	-0.0811409051197516	0.0112580633923504	0.0629536921573635	0.226749173278576	0.999354675409622	FALSE
78	A0A0G2K5T3		Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit	tr|A0A0G2K5T3|A0A0G2K5T3_RAT;sp|A0A0G2K344|PK3CA_RAT	tr|A0A0G2K5T3|A0A0G2K5T3_RAT;sp|A0A0G2K344|PK3CA_RAT	tr|A0A0G2K5T3|A0A0G2K5T3_RAT Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit OS=Rattus norvegicus OX=10116 PE=3 SV=1;sp|A0A0G2K344|PK3CA_RAT Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform OS=Rattus norvegicu	2	2	2	2	1.6	123.73	1063	0	3.9757	43976000	2	13.5506265557869	13.4491486453754	13.4989738292624	13.6002613894103	13.6226238408115	12.8506166123426	0.0400306159814516	0.0326949878936617	-0.0317136227992044	0.0572509970305758	-0.0584820499930379	-0.381815040884377	0.141352691640916	0.259844397225219	0.999354675409622	FALSE
79	A0A096MJJ6	Acbd5	Acyl-CoA-binding domain-containing protein 5	tr|A0A096MJJ6|A0A096MJJ6_RAT;sp|A0FKI7|ACBD5_RAT;tr|M0R9S4|M0R9S4_RAT;tr|A0A0G2K3Z5|A0A0G2K3Z5_RAT	tr|A0A096MJJ6|A0A096MJJ6_RAT;sp|A0FKI7|ACBD5_RAT;tr|M0R9S4|M0R9S4_RAT;tr|A0A0G2K3Z5|A0A0G2K3Z5_RAT	tr|A0A096MJJ6|A0A096MJJ6_RAT Acyl-CoA-binding domain-containing protein 5 OS=Rattus norvegicus OX=10116 GN=Acbd5 PE=1 SV=1;sp|A0FKI7|ACBD5_RAT Acyl-CoA-binding domain-containing protein 5 OS=Rattus norvegicus OX=10116 GN=Acbd5 PE=1 SV=1;tr|M0R9S4|M0R9S4_RA	4	4	4	4	10.4	52.389	470	0	11.311	49325000	4	13.6275338844728	13.5060595888279	13.5272326264476	13.5137275959524	13.7183188104793	13.477252323938	0.0548436981217388	0.0275116848005367	-0.0655490721596859	-0.0913770429729225	-0.0248813268709269	0.182726424165351	-0.0165539145196374	0.846651553347425	0.999354675409622	FALSE
80	A0JPJ7	Ola1	Obg-like ATPase 1	sp|A0JPJ7|OLA1_RAT;tr|B1WC04|B1WC04_RAT	sp|A0JPJ7|OLA1_RAT	sp|A0JPJ7|OLA1_RAT Obg-like ATPase 1 OS=Rattus norvegicus OX=10116 GN=Ola1 PE=2 SV=1	2	11	11	11	33.8	44.535	396	0	81.643	1036200000	15	17.0710642592235	17.1732867439209	17.2658164647632	17.2288186904959	17.5306197016724	16.6032641190861	-0.150805744767218	0.0455590222538014	0.0238549485163174	-0.0254657660691409	0.138239746682592	-0.340441598326172	0.0487586145718738	0.718970921220729	0.999354675409622	FALSE
81	A0JPM9	Eif3j	Eukaryotic translation initiation factor 3 subunit J	sp|A0JPM9|EIF3J_RAT	sp|A0JPM9|EIF3J_RAT	sp|A0JPM9|EIF3J_RAT Eukaryotic translation initiation factor 3 subunit J OS=Rattus norvegicus OX=10116 GN=Eif3j PE=1 SV=1	1	4	4	4	16.6	29.187	259	0	12.179	191620000	4	15.6739439248749	15.69536424474	15.8245361694197	15.7455430302586	16.0318734751199	15.1819675033281	-0.0766975156690576	0.0388650865197176	0.0538032166195828	-0.0375128628596084	0.110722083576806	-0.29050965063734	0.0777570724634618	0.49411912139744	0.999354675409622	FALSE
82	A0JPQ9	Chid1	Chitinase domain-containing protein 1	sp|A0JPQ9|CHID1_RAT;tr|A0A0G2JSR1|A0A0G2JSR1_RAT;tr|Q7TP14|Q7TP14_RAT	sp|A0JPQ9|CHID1_RAT;tr|A0A0G2JSR1|A0A0G2JSR1_RAT;tr|Q7TP14|Q7TP14_RAT	sp|A0JPQ9|CHID1_RAT Chitinase domain-containing protein 1 OS=Rattus norvegicus OX=10116 GN=Chid1 PE=2 SV=2;tr|A0A0G2JSR1|A0A0G2JSR1_RAT Chitinase domain-containing protein 1-like OS=Rattus norvegicus OX=10116 GN=LOC100911881 PE=1 SV=1;tr|Q7TP14|Q7TP14_RAT	3	4	4	4	13	44.874	393	0	7.4825	51046000	4	13.8421538846349	13.2984922183027	13.1329334368818	13.518161355757	13.5617652636277	14.0904432750816	0.403639294560435	-0.045880089448103	-0.325672665448793	0.0472323131082122	-0.0472592774458639	0.930092971585621	-0.29932648919481	0.36433873930846	0.999354675409622	FALSE
83	A0A0G2K9C4	Shtn1	Shootin-1	tr|A0A0G2K9C4|A0A0G2K9C4_RAT;tr|D4A6P3|D4A6P3_RAT;sp|A0MZ67|SHOT1_RAT	tr|A0A0G2K9C4|A0A0G2K9C4_RAT;tr|D4A6P3|D4A6P3_RAT;sp|A0MZ67|SHOT1_RAT	tr|A0A0G2K9C4|A0A0G2K9C4_RAT Shootin-1 OS=Rattus norvegicus OX=10116 GN=Shtn1 PE=1 SV=1;tr|D4A6P3|D4A6P3_RAT Shootin-1 OS=Rattus norvegicus OX=10116 GN=Shtn1 PE=1 SV=3;sp|A0MZ67|SHOT1_RAT Shootin-1 OS=Rattus norvegicus OX=10116 GN=Shtn1 PE=1 SV=1	3	6	6	6	9.7	69.07	610	0	7.6629	175990000	8	12.8654819757151	12.8865920607132	12.8272434510236	12.8189416082117	13.1219219825511	12.8147426674545	-0.0432233159997127	0.0720290513219493	-0.101553352947451	-0.122178136077489	0.0427067398370883	0.184201662318083	-0.0591592945676322	0.537726832315745	0.999354675409622	FALSE
