id	Accession	Gene.name	Protein.description	Protein.IDs	Majority.protein.IDs	Fasta.headers	Number.of.proteins	Peptides	Razor.and.unique.peptides	Unique.peptides	Sequence.coverage.percent	Mol.weight.kDa	Sequence.length	Q.value	Score	Intensity	MS.MS.count	Mock_01	Mock_02	Mock_03	BTX_01	BTX_02	BTX_03	Mock_01.norm	Mock_02.norm	Mock_03.norm	BTX_01.norm	BTX_02.norm	BTX_03.norm	log2FC	p.mod	p.adj.BH	Candidate
59	D3ZHG8	Gga3	ADP-ribosylation factor-binding protein GGA3	tr|D3ZHG8|D3ZHG8_RAT;sp|A0A0G2JV04|GGA3_RAT	tr|D3ZHG8|D3ZHG8_RAT;sp|A0A0G2JV04|GGA3_RAT	tr|D3ZHG8|D3ZHG8_RAT ADP-ribosylation factor-binding protein GGA3 OS=Rattus norvegicus OX=10116 GN=Gga3 PE=1 SV=1;sp|A0A0G2JV04|GGA3_RAT ADP-ribosylation factor-binding protein GGA3 OS=Rattus norvegicus OX=10116 GN=Gga3 PE=1 SV=1	2	7	7	6	11.1	71.714	658	0	46.45	87241000	7	14.5472560526981	14.293112367292	14.2570194605338	14.2864133693703	13.8510657854048	14.492541718653	0.0799000481513633	0.0149217055921435	0.00269430472172666	-0.00143224828328536	-0.245801360240113	-0.0328699735733232	0.125873213520652	0.123421873737253	0.37863126353564	FALSE
60	A0A0G2JXN2	Trim46	Tripartite motif-containing protein 46	sp|A0A0G2JXN2|TRI46_RAT;tr|A0A096MKD5|A0A096MKD5_RAT;tr|A0A096MKH7|A0A096MKH7_RAT	sp|A0A0G2JXN2|TRI46_RAT;tr|A0A096MKD5|A0A096MKD5_RAT;tr|A0A096MKH7|A0A096MKH7_RAT	sp|A0A0G2JXN2|TRI46_RAT Tripartite motif-containing protein 46 OS=Rattus norvegicus OX=10116 GN=Trim46 PE=1 SV=2;tr|A0A096MKD5|A0A096MKD5_RAT Tripartite motif-containing protein 46 (Fragment) OS=Rattus norvegicus OX=10116 GN=Trim46 PE=1 SV=1;tr|A0A096MKH7|	3	2	2	2	3.6	83.43	759	0	13.943	15663000	2	12.7355348698702	12.7365921921508	12.8731749278815	12.888667155381	12.4413620906913	12.9080172610628	-0.152544035509223	0.0376786296182792	0.198126871236804	0.180098636894668	-0.0762279557861934	-0.0381173319961345	0.00583603874450673	0.958275695750375	0.980631572178633	FALSE
61	A0A0G2JXT6	Mtmr6	Myotubularin-related protein 6	sp|A0A0G2JXT6|MTMR6_RAT;tr|D3ZC22|D3ZC22_RAT	sp|A0A0G2JXT6|MTMR6_RAT	sp|A0A0G2JXT6|MTMR6_RAT Myotubularin-related protein 6 OS=Rattus norvegicus OX=10116 GN=Mtmr6 PE=1 SV=1	2	5	5	5	8.9	75.576	655	0	36.211	53727000	8	14.531929677938	14.4406745463401	14.3432551275117	14.3680971669641	14.2522219129384	14.7879535587389	-0.0572508652376984	0.0406593460113066	-0.0328945669292666	-0.0415729893185101	0.0335302286645556	0.140717327883698	-0.060720217795134	0.324370594800493	0.591913501223985	FALSE
62	A0A0G2K2P5	Tjp1	Tight junction protein ZO-1	sp|A0A0G2K2P5|ZO1_RAT;tr|F1M4A0|F1M4A0_RAT	sp|A0A0G2K2P5|ZO1_RAT;tr|F1M4A0|F1M4A0_RAT	sp|A0A0G2K2P5|ZO1_RAT Tight junction protein ZO-1 OS=Rattus norvegicus OX=10116 GN=Tjp1 PE=1 SV=1;tr|F1M4A0|F1M4A0_RAT Tight junction protein 1 (Predicted) OS=Rattus norvegicus OX=10116 GN=Tjp1 PE=1 SV=2	2	10	10	10	7.5	197.15	1765	0	68.801	94185000	11	15.0698273429383	14.8579809951276	14.8078580064303	14.7720052150611	14.4463725548959	15.0043960514265	0.0842561425978944	0.0615751376340853	0.0353176548246139	-0.0340555983861726	-0.168709786542517	-0.0392308365933323	0.141048385526205	0.0236286228034417	0.183723412713088	FALSE
63	A0A0G2K5T3		Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit	tr|A0A0G2K5T3|A0A0G2K5T3_RAT;sp|A0A0G2K344|PK3CA_RAT	tr|A0A0G2K5T3|A0A0G2K5T3_RAT;sp|A0A0G2K344|PK3CA_RAT	tr|A0A0G2K5T3|A0A0G2K5T3_RAT Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit OS=Rattus norvegicus OX=10116 PE=3 SV=1;sp|A0A0G2K344|PK3CA_RAT Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform OS=Rattus norvegicu	2	2	2	2	1.6	123.73	1063	0.0014603	10.863	11013000	2	12.7702096243404	12.7365076348785	12.7878617586154	12.827719804172	12.59609655578	12.9465042517442	-0.175521852326158	-0.0200584989411737	0.0551611306835262	0.0614987143985635	0.0208539380153147	-0.0572829126018489	-0.0551629867986118	0.445924708404139	0.684418862947551	FALSE
64	A0A096MJJ6	Acbd5	Acyl-CoA-binding domain-containing protein 5	tr|A0A096MJJ6|A0A096MJJ6_RAT;sp|A0FKI7|ACBD5_RAT;tr|M0R9S4|M0R9S4_RAT;tr|A0A0G2K3Z5|A0A0G2K3Z5_RAT	tr|A0A096MJJ6|A0A096MJJ6_RAT;sp|A0FKI7|ACBD5_RAT;tr|M0R9S4|M0R9S4_RAT;tr|A0A0G2K3Z5|A0A0G2K3Z5_RAT	tr|A0A096MJJ6|A0A096MJJ6_RAT Acyl-CoA-binding domain-containing protein 5 OS=Rattus norvegicus OX=10116 GN=Acbd5 PE=1 SV=1;sp|A0FKI7|ACBD5_RAT Acyl-CoA-binding domain-containing protein 5 OS=Rattus norvegicus OX=10116 GN=Acbd5 PE=1 SV=1;tr|M0R9S4|M0R9S4_RA	4	2	2	2	6.2	52.389	470	0	15.904	3456800	2	12.2364627213739	11.8536994203002	11.9740560226256	11.9796752693793	12.0908402014527	12.1545333385065	0.0639574857767108	-0.129640472450083	0.0145816357631536	-0.0133195793247123	0.288823824757378	-0.0760275847701398	-0.0835260038575816	0.457116803395324	0.690902981893023	FALSE
65	A0JPJ7	Ola1	Obg-like ATPase 1	sp|A0JPJ7|OLA1_RAT;tr|B1WC04|B1WC04_RAT	sp|A0JPJ7|OLA1_RAT	sp|A0JPJ7|OLA1_RAT Obg-like ATPase 1 OS=Rattus norvegicus OX=10116 GN=Ola1 PE=2 SV=1	2	6	6	6	17.4	44.535	396	0	54.324	202280000	9	16.2274091202412	15.6275053859486	15.7374586185705	15.8218736121658	15.1629813156955	16.2095295193961	0.252103415278394	-0.158634976167364	-0.024816237657648	0.0260782940960893	-0.441835530365391	0.176168126753758	0.102747103656309	0.58713367177224	0.779072149211036	FALSE
66	A0JPM9	Eif3j	Eukaryotic translation initiation factor 3 subunit J	sp|A0JPM9|EIF3J_RAT	sp|A0JPM9|EIF3J_RAT	sp|A0JPM9|EIF3J_RAT Eukaryotic translation initiation factor 3 subunit J OS=Rattus norvegicus OX=10116 GN=Eif3j PE=1 SV=1	1	6	6	6	17	29.187	259	0	38.83	83995000	6	15.319672120947	15.0186348695396	14.9619922309289	15.0297617196681	14.8269952881192	15.1812299192369	0.117427660780243	0.00555575221974153	-0.0272213805031463	0.00702764639448872	-0.00476031314560055	-0.0790702286093408	0.0575216426190971	0.298484734830423	0.563207759986662	FALSE
67	A0A0G2K9C4	Shtn1	Shootin-1	tr|A0A0G2K9C4|A0A0G2K9C4_RAT;tr|D4A6P3|D4A6P3_RAT;sp|A0MZ67|SHOT1_RAT	tr|A0A0G2K9C4|A0A0G2K9C4_RAT;tr|D4A6P3|D4A6P3_RAT;sp|A0MZ67|SHOT1_RAT	tr|A0A0G2K9C4|A0A0G2K9C4_RAT Shootin-1 OS=Rattus norvegicus OX=10116 GN=Shtn1 PE=1 SV=1;tr|D4A6P3|D4A6P3_RAT Shootin-1 OS=Rattus norvegicus OX=10116 GN=Shtn1 PE=1 SV=3;sp|A0MZ67|SHOT1_RAT Shootin-1 OS=Rattus norvegicus OX=10116 GN=Shtn1 PE=1 SV=1	3	4	4	4	7.4	69.07	610	0	32.721	17866000	4	13.1775752609146	12.8005359455136	12.8552772966305	12.6350378711833	12.4866339350702	12.9210970881068	0.250984565331819	0.0631105927776592	0.141717449782426	-0.112042437506411	-0.0694679016107427	-0.0635492951555145	0.233624080721524	0.00450158862553238	0.0711638699462152	FALSE
68	A1L108	Arpc5l	Actin-related protein 2/3 complex subunit 5-like protein	sp|A1L108|ARP5L_RAT	sp|A1L108|ARP5L_RAT	sp|A1L108|ARP5L_RAT Actin-related protein 2/3 complex subunit 5-like protein OS=Rattus norvegicus OX=10116 GN=Arpc5l PE=1 SV=2	1	5	5	5	37.9	17.01	153	0	41.763	266830000	6	15.6221376371197	15.2244539533306	15.1849140745362	15.3392236972352	15.1152062531532	15.6710710749346	0.120493624915659	-0.088024716026605	-0.103699088933186	0.0170900719242485	-0.0159489001489028	0.111371375051007	-0.0612475756234946	0.42448004808538	0.667530737208041	FALSE
